id,name,price,latitude,longitude,room_type,neighbourhood_cleansed,number_of_reviews,availability_365,last_review
1263,Listing 263,$205.36,37.73032929273417,-122.46103811580396,Entire home/apt,Midtown,14,153,2024-01-30
1264,Listing 264,$42.43,37.72846995169286,-122.37988639551436,Private room,Midtown,39,64,2023-06-23
1265,Listing 265,$72.99,37.74689189635302,-122.44315932028508,Private room,Downtown,30,262,2023-11-03
1266,Listing 266,$251.93,37.81442222956314,-122.39791005475445,Hotel room,Midtown,11,125,2023-05-19
1267,Listing 267,$112.60,37.72067673694255,-122.43043080215736,Hotel room,Old Town,10,235,2023-05-20
1268,Listing 268,$109.58,37.74008514887021,-122.43858167188046,Hotel room,Old Town,57,164,2024-05-17
1269,Listing 269,$104.89,37.752588623744295,-122.44196998535358,Hotel room,Old Town,39,276,2024-07-12
1270,Listing 270,$69.74,37.81530046114863,-122.42383777771668,Private room,Riverside,7,250,2023-03-12
1271,Listing 271,$181.98,37.78729776523956,-122.45608208773037,Shared room,Uptown,24,252,2024-03-09
1272,Listing 272,$227.34,37.76792346997727,-122.42991949026707,Hotel room,Midtown,45,365,2024-07-03
1273,Listing 273,$66.02,37.73093694252443,-122.44517690311551,Shared room,Uptown,22,178,2024-02-14
1274,Listing 274,$160.37,37.72105477727846,-122.44412616295963,Private room,Riverside,21,129,2024-05-27
1275,Listing 275,$82.93,37.754496738759954,-122.46754373469743,Entire home/apt,Old Town,0,315,2023-04-29
1276,Listing 276,$69.69,37.79842699975287,-122.41788851701996,Shared room,Riverside,36,317,2024-04-08
1277,Listing 277,$159.21,37.72671743400415,-122.46553169473248,Entire home/apt,Downtown,37,94,2023-06-18
1278,Listing 278,$77.39,37.75309896555532,-122.42736306163783,Hotel room,Uptown,23,237,2023-07-10
1279,Listing 279,$186.53,37.75955823781281,-122.3962611630454,Private room,Riverside,12,151,2023-08-08
1280,Listing 280,$87.24,37.79960080509079,-122.41226520947981,Private room,Old Town,48,154,2023-09-26
1281,Listing 281,$259.82,37.77277150196278,-122.40608914143338,Hotel room,Midtown,19,227,2023-12-27
1282,Listing 282,$236.43,37.7905988360946,-122.44025551653007,Entire home/apt,Harbor,6,230,2023-11-09
1283,Listing 283,$63.73,37.73830445183315,-122.40065634582835,Hotel room,Riverside,8,132,2024-03-09
1284,Listing 284,$62.63,37.81191609967147,-122.37693050622947,Private room,Midtown,26,237,2023-07-11
1285,Listing 285,$157.16,37.80419852141366,-122.40805900212108,Shared room,Downtown,15,205,2024-01-29
1286,Listing 286,$288.32,37.788469667056,-122.4284369564726,Hotel room,Riverside,24,257,2023-08-14
1287,Listing 287,$131.20,37.72326950868581,-122.44751565833567,Shared room,Uptown,28,85,2024-05-22
1288,Listing 288,$286.99,37.74678889093929,-122.4156893817907,Shared room,Midtown,23,211,2024-03-27
1289,Listing 289,$297.38,37.74185419350101,-122.42748453132629,Private room,Old Town,27,183,2023-09-27
1290,Listing 290,$152.76,37.806529047037635,-122.45826139735011,Private room,Uptown,20,244,2023-12-26
1291,Listing 291,$187.64,37.73659816176903,-122.45607650340732,Private room,Uptown,31,90,2024-06-29
1292,Listing 292,$115.02,37.817900015640305,-122.4407365302076,Shared room,Midtown,19,335,2023-04-08
1293,Listing 293,$73.63,37.81627719949938,-122.39143089517087,Entire home/apt,Old Town,30,165,2023-05-16
1294,Listing 294,$95.35,37.74475547400227,-122.38564443433566,Hotel room,Riverside,35,279,2024-02-29
1295,Listing 295,$211.02,37.76519917225504,-122.40663722366497,Entire home/apt,Riverside,12,192,2024-01-13
1296,Listing 296,$258.47,37.7202473085142,-122.39258647095623,Entire home/apt,Harbor,20,325,2024-01-02
1297,Listing 297,$57.53,37.79956779266479,-122.43022841318114,Hotel room,Uptown,11,202,2023-10-18
1298,Listing 298,$144.94,37.80524225762885,-122.39116963465233,Entire home/apt,Downtown,22,327,2024-04-15
1299,Listing 299,$55.25,37.73242371792304,-122.38423484000714,Hotel room,Riverside,62,200,2023-07-27
